date,country_code,block,block_value
1958-07-31,ES,Macro vulnerability,1.5226673069675343
1958-07-31,UK,Macro vulnerability,-0.6878121183530896
1958-07-31,US,Credit & leverage,-0.0835521476902876
1958-07-31,US,Macro vulnerability,0.30223649903399014
1958-08-31,DE,Credit & leverage,0.20813018561175942
1958-08-31,DE,Macro vulnerability,-0.9538057861274386
1958-08-31,ES,Macro vulnerability,1.3652244747527977
1958-08-31,UK,Macro vulnerability,-0.6870856454273906
1958-08-31,US,Credit & leverage,-0.0835521476902876
1958-08-31,US,Macro vulnerability,0.20620246399491854
1958-09-30,DE,Credit & leverage,0.20813018561175942
1958-09-30,DE,Macro vulnerability,-1.113079122832459
1958-09-30,ES,Macro vulnerability,1.3979296052678827
1958-09-30,UK,Macro vulnerability,-0.6042347695440613
1958-09-30,US,Credit & leverage,-0.0835521476902876
1958-09-30,US,Macro vulnerability,0.1143235304256966
1958-10-31,DE,Credit & leverage,0.2871174354181753
1958-10-31,DE,Macro vulnerability,-0.9538057861274386
1958-10-31,ES,Macro vulnerability,1.1533293625602214
1958-10-31,UK,Macro vulnerability,-0.6086239671608218
1958-10-31,US,Credit & leverage,0.1011776205549737
1958-10-31,US,Macro vulnerability,-0.008181714333265477
1958-11-30,DE,Credit & leverage,0.2871174354181753
1958-11-30,DE,Macro vulnerability,-0.7954691667318748
1958-11-30,ES,Macro vulnerability,1.0063844505715123
1958-11-30,UK,Macro vulnerability,-0.651489122640909
1958-11-30,US,Credit & leverage,0.1011776205549737
1958-11-30,US,Macro vulnerability,-0.16269507015726503
1958-12-31,DE,Credit & leverage,0.2871174354181753
1958-12-31,DE,Macro vulnerability,-0.7954691667318748
1958-12-31,ES,Macro vulnerability,1.0267940844868255
1958-12-31,UK,Macro vulnerability,-0.673485421685536
1958-12-31,US,Credit & leverage,0.1011776205549737
1958-12-31,US,Macro vulnerability,-0.22787252487801346
1959-01-31,DE,Credit & leverage,0.2842131229324631
1959-01-31,DE,Macro vulnerability,-1.2761170354807942
1959-01-31,ES,Macro vulnerability,0.9124374327226485
1959-01-31,UK,Macro vulnerability,-0.6129320600390118
1959-01-31,US,Credit & leverage,0.1241371388131248
1959-01-31,US,Macro vulnerability,-0.3561256893153897
